Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-1,2532E-07","0,020983","0,15107",0,0,0,"3,1643","0,017304","3,0206E-09","-2,0781E-06","0,021588","-5,0122E-05","0,0051864",0,0,0,0,0,0,package://ros_robot_v3/meshes/base_link.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://ros_robot_v3/meshes/base_link.STL,,ros_chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,"0,0010431","-0,020072","-0,00023899",0,0,0,"0,064021","1,1121E-05","8,9387E-12","1,1975E-07","2,3896E-05","-1,1494E-07","1,5318E-05",0,0,0,0,0,0,package://ros_robot_v3/meshes/link_1.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://ros_robot_v3/meshes/link_1.STL,,ros_link_1-1,Origin_joint_1,Axis_joint_1,joint_1,continuous,0,"-0,081313","0,08128","-1,5708",0,"-3,1416",base_link,0,1,0,,,,,,,,,,,,
link_2,"-0,00060377","-0,057555","-7,3691E-15",0,0,0,"0,22008","7,7099E-05","-1,151E-19","-3,1103E-19","0,00010308","2,4455E-20","0,000156",0,0,0,0,0,0,package://ros_robot_v3/meshes/link_2.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://ros_robot_v3/meshes/link_2.STL,,ros_link_2-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,0,"-0,024358","0,0098714","-1,5708",0,"3,1416",link_1,1,0,0,,,,,,,,,,,,
link_3,"-0,0006827","-2,7756E-17","-0,043871",0,0,0,"0,11515","1,5667E-05","1,8673E-21","-2,629E-20","1,811E-05","9,0283E-15","1,0827E-05",0,0,0,0,0,0,package://ros_robot_v3/meshes/link_3.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://ros_robot_v3/meshes/link_3.STL,,ros_link_3-1,Origin_joint_3,Axis_joint_3,joint_3,continuous,0,"-0,13432",0,"3,1416",0,0,link_2,1,0,0,,,,,,,,,,,,
link_4,"-0,00060377","0,0078845","0,041772",0,0,0,"0,11556","6,5441E-05","-2,5298E-20","9,7754E-20","8,2592E-05","-1,0795E-05","5,5082E-05",0,0,0,0,0,0,package://ros_robot_v3/meshes/link_4.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://ros_robot_v3/meshes/link_4.STL,,ros_link_4-1,Origin_joint_4,Axis_joint_4,joint_4,continuous,0,0,"-0,087743","3,1416",0,0,link_3,1,0,0,,,,,,,,,,,,
pre_link_5,"2,7756E-17","-0,0034554",0,0,0,0,"0,0010902","3,668E-08","1,2584E-22","-3,3087E-24","7,097E-08","-1,1695E-22","3,668E-08",0,0,0,0,0,0,package://ros_robot_v3/meshes/pre_link_5.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://ros_robot_v3/meshes/pre_link_5.STL,,servo_motor_part-1,Origin_joint_5,Axis_joint_5,joint_5,continuous,"-0,00060377","0,00065019","0,063746","-1,5708",0,"0,59278",link_4,0,1,0,,,,,,,,,,,,
wheel_link_1,"-0,00093623","0,0002943","-0,025313",0,0,0,"0,13047","1,7238E-05","-4,965E-08","5,3596E-08","1,7061E-05","1,9754E-07","2,4897E-05",0,0,0,0,0,0,package://ros_robot_v3/meshes/wheel_link_1.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://ros_robot_v3/meshes/wheel_link_1.STL,,ros_wheel_1-1,Origin_wheel_joint_1,Axis_wheel_joint_1,wheel_joint_1,continuous,"0,0765","-0,0505","-0,0032237","1,5708","-1,179","-1,5708",base_link,0,0,1,,,,,,,,,,,,
wheel_link_2,"0,00097828","6,9331E-06","-0,025313",0,0,0,"0,13047","1,7251E-05","1,2225E-08","1,0352E-08","1,7048E-05","-2,0432E-07","2,4897E-05",0,0,0,0,0,0,package://ros_robot_v3/meshes/wheel_link_2.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://ros_robot_v3/meshes/wheel_link_2.STL,,ros_wheel_2-1,Origin_wheel_joint_2,Axis_wheel_joint_2,wheel_joint_2,continuous,"-0,0765","-0,0505","-0,0032237","1,5708","1,179","1,5708",base_link,0,0,1,,,,,,,,,,,,
wheel_link_3,"-0,00029565","0,00093678","0,025313",0,0,0,"0,13047","1,706E-05","-5,0766E-08","1,975E-07","1,7239E-05","5,3582E-08","2,4897E-05",0,0,0,0,0,0,package://ros_robot_v3/meshes/wheel_link_3.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://ros_robot_v3/meshes/wheel_link_3.STL,,ros_wheel_3-1,Origin_wheel_joint_3,Axis_wheel_joint_3,wheel_joint_3,continuous,"-0,0765","-0,25731","-0,0032237","1,5708","-1,179","-1,5708",base_link,0,0,1,,,,,,,,,,,,
wheel_link_4,"-1,2532E-07","0,020983","0,15107",0,0,0,"0,13047","0,017304","3,0206E-09","-2,0781E-06","0,021588","-5,0122E-05","0,0051864",0,0,0,0,0,0,package://ros_robot_v3/meshes/wheel_link_4.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://ros_robot_v3/meshes/wheel_link_4.STL,,ros_wheel_4-1,Origin_wheel_joint_4,Axis_wheel_joint_4,wheel_joint_4,continuous,"0,0765","-0,25731","-0,0032237","1,5708","1,179","1,5708",base_link,0,0,1,,,,,,,,,,,,
